FileName,Dimensions_1,Dimensions_2
sp01a_w01_heed.mat,13,58
sp01a_w02_hid.mat,13,48
sp01a_w03_head.mat,13,57
sp01a_w04_had.mat,13,49
sp01a_w06_hud.mat,13,53
sp01a_w07_hod.mat,13,55
sp01a_w08_hoard.mat,13,57
sp01a_w09_hood.mat,13,50
sp02a_w01_heed.mat,13,36
sp02a_w02_hid.mat,13,37
sp02a_w03_head.mat,13,38
sp02a_w04_had.mat,13,40
sp02a_w05_hard.mat,13,45
sp02a_w06_hud.mat,13,41
sp02a_w07_hod.mat,13,39
sp02a_w08_hoard.mat,13,45
sp02a_w10_whod.mat,13,43
sp02a_w11_heard.mat,13,24
sp03a_w05_hard.mat,13,45
sp03a_w06_hud.mat,13,43
sp03a_w07_hod.mat,13,45
sp03a_w09_hood.mat,13,40
sp03a_w10_whod.mat,13,53
sp03a_w11_heard.mat,13,46
sp04a_w01_heed.mat,13,46
sp04a_w03_head.mat,13,41
sp04a_w04_had.mat,13,33
sp04a_w05_hard.mat,13,45
sp04a_w06_hud.mat,13,42
sp04a_w07_hod.mat,13,37
sp04a_w09_hood.mat,13,39
sp04a_w10_whod.mat,13,41
sp04a_w11_heard.mat,13,36
sp05a_w02_hid.mat,13,33
sp05a_w04_had.mat,13,42
sp05a_w05_hard.mat,13,56
sp05a_w06_hud.mat,13,48
sp05a_w09_hood.mat,13,45
sp05a_w10_whod.mat,13,48
sp05a_w11_heard.mat,13,23
sp06a_w01_heed.mat,13,58
sp06a_w06_hud.mat,13,46
sp06a_w08_hoard.mat,13,56
sp06a_w09_hood.mat,13,47
sp06a_w10_whod.mat,13,56
sp06a_w11_heard.mat,13,48
sp07a_w01_heed.mat,13,45
sp07a_w02_hid.mat,13,36
sp07a_w04_had.mat,13,39
sp07a_w05_hard.mat,13,45
sp07a_w07_hod.mat,13,37
sp07a_w08_hoard.mat,13,43
sp07a_w09_hood.mat,13,36
sp07a_w10_whod.mat,13,41
sp07a_w11_heard.mat,13,38
sp08a_w02_hid.mat,13,37
sp08a_w03_head.mat,13,39
sp08a_w05_hard.mat,13,46
sp08a_w07_hod.mat,13,37
sp08a_w08_hoard.mat,13,43
sp08a_w09_hood.mat,13,36
sp08a_w11_heard.mat,13,39
sp09a_w03_head.mat,13,50
sp09a_w04_had.mat,13,50
sp09a_w06_hud.mat,13,46
sp09a_w07_hod.mat,13,46
sp09a_w08_hoard.mat,13,57
sp09a_w09_hood.mat,13,44
sp09a_w10_whod.mat,13,46
sp10a_w03_head.mat,13,41
sp10a_w05_hard.mat,13,52
sp10a_w06_hud.mat,13,39
sp10a_w07_hod.mat,13,44
sp10a_w08_hoard.mat,13,49
sp10a_w09_hood.mat,13,38
sp10a_w10_whod.mat,13,46
sp11a_w01_heed.mat,13,27
sp11a_w02_hid.mat,13,29
sp11a_w03_head.mat,13,33
sp11a_w04_had.mat,13,30
sp11a_w05_hard.mat,13,46
sp11a_w06_hud.mat,13,40
sp11a_w07_hod.mat,13,40
sp11a_w08_hoard.mat,13,42
sp11a_w09_hood.mat,13,36
sp11a_w11_heard.mat,13,31
sp12a_w01_heed.mat,13,32
sp12a_w02_hid.mat,13,31
sp12a_w03_head.mat,13,35
sp12a_w05_hard.mat,13,41
sp12a_w06_hud.mat,13,34
sp12a_w07_hod.mat,13,36
sp12a_w10_whod.mat,13,38
sp12a_w11_heard.mat,13,21
sp13a_w01_heed.mat,13,35
sp13a_w02_hid.mat,13,26
sp13a_w03_head.mat,13,30
sp13a_w04_had.mat,13,29
sp13a_w05_hard.mat,13,39
sp13a_w06_hud.mat,13,28
sp13a_w08_hoard.mat,13,35
sp13a_w10_whod.mat,13,28
sp13a_w11_heard.mat,13,30
sp14a_w01_heed.mat,13,28
sp14a_w03_head.mat,13,29
sp14a_w04_had.mat,13,24
sp14a_w05_hard.mat,13,39
sp14a_w07_hod.mat,13,24
sp15a_w01_heed.mat,13,49
sp15a_w02_hid.mat,13,41
sp15a_w03_head.mat,13,44
sp15a_w05_hard.mat,13,51
sp15a_w07_hod.mat,13,42
sp15a_w09_hood.mat,13,38
sp16a_w02_hid.mat,13,34
sp16a_w03_head.mat,13,36
sp16a_w04_had.mat,13,44
sp16a_w06_hud.mat,13,36
sp16a_w07_hod.mat,13,38
sp16a_w08_hoard.mat,13,44
sp16a_w11_heard.mat,13,17
sp17a_w01_heed.mat,13,46
sp17a_w02_hid.mat,13,29
sp17a_w03_head.mat,13,34
sp17a_w04_had.mat,13,30
sp17a_w05_hard.mat,13,37
sp17a_w07_hod.mat,13,34
sp17a_w08_hoard.mat,13,46
sp17a_w09_hood.mat,13,41
sp17a_w10_whod.mat,13,39
sp17a_w11_heard.mat,13,25
sp18a_w01_heed.mat,13,42
sp18a_w03_head.mat,13,32
sp18a_w05_hard.mat,13,50
sp18a_w08_hoard.mat,13,38
sp18a_w09_hood.mat,13,28
sp18a_w10_whod.mat,13,45
sp19a_w01_heed.mat,13,41
sp19a_w02_hid.mat,13,30
sp19a_w03_head.mat,13,34
sp19a_w06_hud.mat,13,38
sp19a_w09_hood.mat,13,30
sp20a_w02_hid.mat,13,36
sp20a_w03_head.mat,13,39
sp20a_w04_had.mat,13,43
sp20a_w08_hoard.mat,13,41
sp20a_w09_hood.mat,13,37
sp20a_w10_whod.mat,13,41
sp20a_w11_heard.mat,13,44
sp21a_w01_heed.mat,13,42
sp21a_w04_had.mat,13,30
sp21a_w05_hard.mat,13,46
sp21a_w07_hod.mat,13,37
sp21a_w08_hoard.mat,13,41
sp21a_w09_hood.mat,13,34
sp21a_w10_whod.mat,13,39
sp21a_w11_heard.mat,13,45
sp22a_w01_heed.mat,13,38
sp22a_w02_hid.mat,13,29
sp22a_w04_had.mat,13,33
sp22a_w05_hard.mat,13,46
sp22a_w06_hud.mat,13,30
sp22a_w07_hod.mat,13,33
sp22a_w08_hoard.mat,13,42
sp22a_w09_hood.mat,13,29
sp22a_w10_whod.mat,13,37
sp22a_w11_heard.mat,13,39
sp23a_w01_heed.mat,13,41
sp23a_w02_hid.mat,13,31
sp23a_w03_head.mat,13,36
sp23a_w04_had.mat,13,36
sp23a_w06_hud.mat,13,37
sp23a_w07_hod.mat,13,37
sp23a_w08_hoard.mat,13,44
sp23a_w09_hood.mat,13,31
sp23a_w11_heard.mat,13,46
sp24a_w01_heed.mat,13,24
sp24a_w04_had.mat,13,29
sp24a_w05_hard.mat,13,32
sp24a_w06_hud.mat,13,24
sp24a_w07_hod.mat,13,20
sp24a_w08_hoard.mat,13,27
sp24a_w09_hood.mat,13,19
sp24a_w10_whod.mat,13,22
sp24a_w11_heard.mat,13,27
sp25a_w01_heed.mat,13,34
sp25a_w02_hid.mat,13,36
sp25a_w03_head.mat,13,41
sp25a_w04_had.mat,13,31
sp25a_w06_hud.mat,13,32
sp25a_w09_hood.mat,13,37
sp25a_w10_whod.mat,13,25
sp25a_w11_heard.mat,13,37
sp26a_w02_hid.mat,13,33
sp26a_w04_had.mat,13,30
sp26a_w05_hard.mat,13,47
sp26a_w06_hud.mat,13,34
sp26a_w09_hood.mat,13,33
sp26a_w10_whod.mat,13,24
sp26a_w11_heard.mat,13,38
sp27a_w02_hid.mat,13,47
sp27a_w03_head.mat,13,54
sp27a_w04_had.mat,13,40
sp27a_w05_hard.mat,13,57
sp27a_w06_hud.mat,13,43
sp27a_w07_hod.mat,13,42
sp27a_w08_hoard.mat,13,53
sp27a_w10_whod.mat,13,31
sp28a_w01_heed.mat,13,32
sp28a_w02_hid.mat,13,40
sp28a_w03_head.mat,13,40
sp28a_w04_had.mat,13,33
sp28a_w05_hard.mat,13,49
sp28a_w06_hud.mat,13,36
sp28a_w07_hod.mat,13,37
sp28a_w08_hoard.mat,13,42
sp28a_w11_heard.mat,13,34
sp29a_w01_heed.mat,13,44
sp29a_w02_hid.mat,13,46
sp29a_w03_head.mat,13,51
sp29a_w05_hard.mat,13,55
sp29a_w06_hud.mat,13,43
sp29a_w07_hod.mat,13,43
sp29a_w08_hoard.mat,13,51
sp29a_w10_whod.mat,13,28
sp30a_w01_heed.mat,13,24
sp30a_w02_hid.mat,13,25
sp30a_w04_had.mat,13,27
sp30a_w08_hoard.mat,13,28
sp30a_w10_whod.mat,13,25
sp30a_w11_heard.mat,13,30
